fund_long_name,initial_investment,fund_category,management_name
AQR International Defensive Style Fund Class R6,50000000,Foreign Large Blend,Andrea Frazzini
AQR Global Equity Fund Class R6,50000000,World Large-Stock Blend,Lars S. Nielsen
AQR International Equity Fund Class R6,50000000,Foreign Large Blend,Lars S. Nielsen
AQR Managed Futures Strategy Fund Class R6,50000000,Systematic Trend,John M. Liew
AQR Multi-Asset Fund Class R6,50000000,Tactical Allocation,John M. Liew
Invenomic Fund Super Institutional Class shares,50000000,Long-Short Equity,Ali R. Motamed
BNY Mellon Sustainable Balanced Fund Class K,50000000,World Allocation,Paul L. Benson
American Funds Conservative Growth and Income Portfolio Class 529-C,50000000,Diversified Emerging Mkts,Michelle J. Black
Putnam Dynamic Asset Allocation Balanced Fund Class C,50000000,Large Blend,Robert Schoen
American Century One Choice Blend+ 2025 Portfolio I Class,50000000,Intermediate Core-Plus Bond,Scott A. Wilson
American Century One Choice Blend+ 2025 Portfolio A Class,50000000,Relative Value Arbitrage,Scott A. Wilson
American Beacon AHL TargetRisk Core Fund Y Class,50000000,Multistrategy,Otto van Hemert
American Century One Choice Blend+ 2040 Portfolio I Class,50000000,Macro Trading,Scott A. Wilson
Invesco Select Risk: Growth Investor Fund Class R5,50000000,Foreign Large Blend,Jeffrey Bennett
American Century One Choice Blend+ 2050 Portfolio Investor Class,50000000,Foreign Large Growth,Scott A. Wilson
American Century One Choice Blend+ 2065 Portfolio I Class,50000000,Long-Short Equity,Scott A. Wilson
American Funds 2035 Target Date Retirement Fund Class A,50000000,Systematic Trend,Wesley K.-S. Phoa
Cavanal Hill Moderate Duration Fund Class A,50000000,Equity Market Neutral,Russell P. Knox
American Beacon International Equity Fund R5 Class,50000000,Large Growth,Alvin L. Polit
American Funds 2050 Target Date Retirement Fund Class A,50000000,Commodities Broad Basket,Wesley K.-S. Phoa
Alger Weatherbie Specialized Gr Prt I-2,50000000,Tactical Allocation,"George A. Dai, Ph. D."
Cavanal Hill Opportunistic Fund Class A,50000000,Multistrategy,Brandon R. Barnes
American Beacon Small Cap Value Fund R6 Class,50000000,Small Blend,Judd S. Peters
Ancora/Thelen Small-Mid Cap Fund Class I,50000000,Small Growth,Dan G. Thelen
Thrivent Large Cap Value Fund Class A,50000000,Multistrategy,Kurt J. Lauber
AB Emerging Markets Multi-Asset Portfolio Class A,50000000,Diversified Emerging Mkts,Morgan C. Harting
American Beacon The London Company Income Equity Fund Y Class,50000000,Large Blend,Stephen Goddard
American Funds Conservative Growth and Income Portfolio Class 529-E,35000000,Foreign Large Value,Michelle J. Black
Baillie Gifford Global Alpha Equities Fund Class 2,25000000,,Spencer Adair
Baillie Gifford EAFE Plus All Cap Fund Class 2,25000000,Foreign Large Growth,Iain Campbell
Baillie Gifford Emerging Markets Equities Fund Class 2,25000000,Diversified Emerging Mkts,Ben Durrant
Baillie Gifford International Growth Fund Class 2,25000000,Foreign Large Growth,Thomas K. Coutts
Baillie Gifford International Alpha Fund Class 2,25000000,Foreign Large Growth,Angus M. Franklin
Baillie Gifford Developed EAFE All Cap Fund Class 2,25000000,Foreign Large Growth,Gerard M. Callahan
UBS Emerging Markets Equity Opportunity Fund Class P2,25000000,Diversified Emerging Mkts,Geoffrey E. Wong
UBS International Sustainable Equity Fund Class P2,25000000,Foreign Large Blend,Adam Jokich
Thrivent Mid Cap Stock Fund Class A,25000000,Macro Trading,Brian J. Flanagan
Cullen International High Dividend Fund Class R1,25000000,Nontraditional Bond,James P. Cullen
Columbia Corporate Income Fund Class C,25000000,Bank Loan,Thomas Murphy
Six Circles International Unconstrained Equity Fund,25000000,Intermediate Core-Plus Bond,Miles A. Wixon
Baillie Gifford China A Shares Fund Institutional Class,25000000,Options Trading,Sophie Earnshaw
BlackRock Core Bond Portfolio Class R Shares,25000000,Options Trading,Bob Miller
American Century California High Yield Municipal Fund I Class,25000000,Options Trading,Alan M. Kruss
BlackRock CoreAlpha Bond Fund Investor A Shares,25000000,Options Trading,Jeffrey Rosenberg
Brown Capital Management International Small Company Fund Investor Shares,25000000,Options Trading,Daniel L. Boston
iShares Municipal Bond Index Fund Institutional,25000000,Nontraditional Bond,Karen Uyehara
Barings Active Short Duration Bond Fund Class L,25000000,Large Blend,Douglas M. Trevallion
Calamos Global Convertible Fund Class A,25000000,Large Blend,Joe Wysocki
Calvert Conservative Allocation Fund Class C,25000000,Large Blend,Dan R. Strelow
Clough Global Long/Short Fund Investor Class,25000000,Intermediate Core Bond,Charles Clough
EAVOL NASDAQ-100 Volatility Overlay Fund Class C,25000000,Emerging Markets Bond,Afshin Rahbari
Columbia Small Cap Value Fund II Advisor Class,25000000,Intermediate Core-Plus Bond,Christian K. Stadlinger
Diamond Hill High Yield Fund Class Y,25000000,World Bond-USD Hedged,Bill Zox
American Century Investments One Choice 2065 Portfolio I Class,20000000,Nontraditional Bond,John Donner
Columbia Select Mid Cap Value Fund Class R,20000000,,Kari Montanus
Friess Brandywine Blue Fund Institutional Class,20000000,Relative Value Arbitrage,Scott W. Gates
Nuveen Colorado Municipal Bond Fund Class I,20000000,Mid-Cap Blend,Christopher L. Drahn
Nuveen Colorado Municipal Bond Fund Class A,20000000,Small Blend,Christopher L. Drahn
JPMorgan Corporate Bond Fund Class R6,15000000,Corporate Bond,Lorenzo Napolitano
JPMorgan Emerging Markets Research Enhanced Equity Fund Class R6,15000000,Diversified Emerging Mkts,Anuj Arora
Ariel Appreciation Fund Investor Class,15000000,World Allocation,Timothy R. Fidler
Congress Large Cap Growth Fund Retail Class,15000000,Multisector Bond,Daniel A. Lagan
Eaton Vance Short Duration Municipal Opportunities Fund Class C,15000000,Foreign Large Blend,Adam A. Weigold
Fidelity Advisor Value Strategies Fund Class I,15000000,Target-Date 2060+,Matthew Friedman
American Funds Retirement Income Portfolio - Moderate Class F-1,15000000,Target-Date 2060+,Michelle J. Black
Fidelity Climate Action Fund - Class I,15000000,Target-Date 2025,Asher Anolic
American Funds College 2033 Fund Class 529-F-2,15000000,Muni California Intermediate,Michelle J. Black
Fidelity Advisor Small Cap Growth Fund Class C,15000000,Intermediate Core Bond,Patrick Venanzi
Frost Credit Fund Institutional Class,15000000,Intermediate Core-Plus Bond,Jeffery Elswick
Frontier MFG Core Infrastructure Fund Service Class,15000000,Large Blend,Ben McVicar
Fidelity California Limited Term Tax-Free Bond Fund,15000000,Allocation--50% to 70% Equity,Elizah McLaughlin
Nuveen Connecticut Municipal Bond Fund Class A,15000000,Emerging Markets Bond,Michael S. Hamilton
American Funds Capital World Growth and Income Fund Class 529-F-2,15000000,Foreign Large Blend,Michael Alfonso Cohen
Federated Hermes Corporate Bond Fund Class R6 Shares,15000000,Emerging Markets Bond,Mark E. Durbiano
American Funds 2015 Target Date Retirement Fund Class F-3,15000000,Diversified Emerging Mkts,Wesley K.-S. Phoa
Fidelity Growth Strategies Fund,15000000,Derivative Income,Jean Park
Fidelity Dividend Growth Fund Class K,15000000,Allocation--50% to 70% Equity,Zachary Turner
Fidelity Advisor Freedom 2060 Fund Class I,15000000,Target-Date 2055,Andrew F. Dierdorf
Fidelity Stock Selector Small Cap Fund,15000000,Allocation--30% to 50% Equity,Morgen Peck
Franklin DynaTech Fund Class R6,15000000,Allocation--50% to 70% Equity,Rupert H. Johnson
Fidelity Advisor Diversified International Fund Class A,15000000,Allocation--85%+ Equity,William Bower
Fidelity Advisor Freedom 2030 Fund Class I,15000000,Large Growth,Andrew F. Dierdorf
Fidelity Advisor Semiconductors Fund Class I,15000000,Small Growth,Adam Benjamin
Templeton Emerging Markets Bond Fund Class A,15000000,Large Growth,Michael Hasenstab
Fidelity Advisor Asset Manager 50% Fund Class A,15000000,Options Trading,Geoffrey D. Stein
Fidelity Fund Class K,15000000,High Yield Bond,Jean Park
Fidelity Advisor Asset Manager 50% Fund Class I,15000000,Options Trading,Geoffrey D. Stein
Salient Global Real Estate Fund Investor Class,15000000,Large Blend,John D. Palmer
Fidelity Flex Opportunistic Insights Fund,15000000,Inflation-Protected Bond,William Danoff
Franklin Federal Limited-Term Tax-Free Income Fund Class A1,15000000,Muni National Interm,James Conn
Fidelity Advisor Asset Manager 50% Fund Class M,15000000,Large Value,Geoffrey D. Stein
American Funds Short-Term Bond Fund of America Class 529-F-3,15000000,Target-Date Retirement,John R. Queen
Nuveen Global Infrastructure Fund Class R6,15000000,Large Blend,Jay L. Rosenberg
Fidelity Advisor Communication Services Class I,15000000,Large Value,Matthew Drukker
Nuveen Global Infrastructure Fund Class R3,15000000,Intermediate Core Bond,Jay L. Rosenberg
Fidelity Advisor High Income Fund Class A,15000000,Mid-Cap Growth,Michael Weaver
Federated Hermes Government Ultrashort Fund Class R6,15000000,Multisector Bond,Susan R. Hill
Fidelity Advisor New Markets Income Fund Class C,15000000,Intermediate Core-Plus Bond,Timothy Gill
Fidelity Freedom Blend 2035 Fund,15000000,Mid-Cap Value,Andrew F. Dierdorf
Fidelity Freedom Blend 2025 Fund,15000000,Target-Date 2045,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2035 Fund Class M,15000000,Allocation--30% to 50% Equity,Andrew F. Dierdorf
Fidelity Freedom Blend 2025 Fund Class K,15000000,Foreign Large Blend,Andrew F. Dierdorf
Delaware Hedged U.S. Equity Opportunities Fund Institutional Class,15000000,Target-Date 2025,Gregg R. Thomas
Fidelity Advisor Freedom 2055 Fund Class I,15000000,Foreign Large Value,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2055 Fund Class Z6,15000000,Target-Date 2050,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2045 Fund Class A,15000000,Target-Date 2040,Andrew F. Dierdorf
Federated Hermes High-Income Bond Fund Class C Shares,15000000,Long-Short Equity,Mark E. Durbiano
Nuveen Small Cap Select Fund Class C,15000000,Large Growth,Gregory J. Ryan
Federated Hermes Conservative Municipal Microshort Fund Institutional Shares,15000000,Large Growth,Kyle J. Stewart
Fidelity Freedom Blend 2015 Fund Class K6,15000000,Bank Loan,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2055 Fund Class I,15000000,Macro Trading,Andrew F. Dierdorf
Franklin High Income Fund Class A,15000000,Mid-Cap Growth,Glenn Voyles
Federated Hermes Global Small Cap Fund Institutional Shares,15000000,Target-Date 2035,Hamish Galpin
Delaware Investment Grade Fund Institutional Class,15000000,Target-Date 2045,Michael G. Wildstein
Delaware International Fund Class R6,15000000,Small Growth,Klaus Saustrup Petersen
Fidelity Advisor Materials Fund Class Z,15000000,Short-Term Bond,Jody Simes
Fidelity Advisor Freedom 2005 Fund Class Z,15000000,Short-Term Bond,Andrew F. Dierdorf
Fidelity Advisor Real Estate Fund Class Z,15000000,Nontraditional Bond,Samuel J. Wald
Fidelity Advisor Government Income Fund Class Z,15000000,Target-Date Retirement,Sean Corcoran
Franklin International Small Cap Fund Class A,15000000,Target-Date 2030,Paul D. Ehrlichman
Fidelity Advisor Total Emerging Markets Fund Class Z,15000000,Nontraditional Bond,Xiaoting Zhao
Nuveen Mid Cap Growth Opportunities Fund Class I,15000000,Small Value,Bihag N. Patel
Fidelity International Small Cap Fund,15000000,Target-Date 2020,Sam Chamovitz
Fidelity Freedom 2005 Fund Class K6,15000000,High Yield Muni,Andrew F. Dierdorf
Fidelity Advisor International Value Fund Class I,15000000,Allocation--30% to 50% Equity,Alexander Zavratsky
Fidelity Advisor Freedom Blend 2025 Fund Class M,15000000,Target-Date 2050,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2015 Fund Class C,15000000,Target-Date 2020,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2010 Fund Class C,15000000,Target-Date 2055,Andrew F. Dierdorf
Fidelity Limited Term Bond Fund,15000000,Large Blend,Robert Galusza
Federated Hermes Kaufmann Small Cap Fund Class R6 Shares,15000000,Small Blend,Hans M. Utsch
Franklin California Intermediate-Term Tax-Free Income Fund Class A1,15000000,Short-Term Bond,Michael J. Conn
Fidelity Freedom Index 2020 Fund Premier Class,15000000,Large Value,Andrew F. Dierdorf
BlackRock China A Opportunities Fund Class K,15000000,Muni National Short,Jeff Shen
Diamond Hill High Yield Fund Investor Share,15000000,Large Blend,Bill Zox
Diamond Hill International Fund Class I,15000000,Intermediate Government,Krishna Mohanraj
BNY Mellon International Core Equity Fund Class A,15000000,Large Value,James A. Lydotes
Destinations Low Duration Fixed Income Fund Class I,15000000,Small Blend,Jeffrey J. Sherman
DWS New York Tax-Free Income Fund Institutional Class,15000000,Muni National Short,Ashton J. Goodfield
American Century Investments One Choice 2055 Portfolio Investor Class,15000000,Muni National Long,Radu Gabudean
BlackRock Tactical Opportunities Fund Investor C Shares,15000000,Target-Date 2040,Richard Murrall
BTS Managed Income Fund Class C Shares,15000000,Target-Date 2035,Vilis Pasts
